# Simulation Configuration;;;;;;;;;
NumContainers,20;;;;;;;;;
NumResources,5;;;;;;;;;
SimulationTime,60;;;;;;;;;
MaxConcurrentAccess,3;;;;;;;;;
SynchronizationEnabled,true;;;;;;;;;
NetworkLatencyMean,15;;;;;;;;;
ProcessingTimeMean,50;;;;;;;;;
;;;;;;;;;
# Summary Metrics;;;;;;;;;
TotalRequests,4205;;;;;;;;;
SuccessfulRequests,4205;;;;;;;;;
Conflicts,0;;;;;;Metric;With Synchronization;Without Synchronization;Difference(%)
Timeouts,0;;;;;;Total Request;4205;4254;1,151857076
TotalDuration,61;;;;;;Successful Requests;4205;4254;1,151857076
ThroughputPerSecond,68.934425;;;;;;Conflicts;0;132;100
AvgAcquireTimeMs,15.930321046373365;;;;;;Timeouts;0;0;No Difference
AvgProcessingTimeMs,50.017598097502976;;;;;;Throughput (ops/sec);68,9344;69,7377;1,151887716
AvgTotalTimeMs,81.65945303210464;;;;;;Average Acquire Time (ms);15,9303;14,7388;-8,08410454
;;;;;;Average Processing Time (ms);50,0176;49,4358;-1,176879913
# Access Logs;;;;;;Average Total Time (ms);81,6595;79,7118;-2,443427447
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs;;;;;;;;;
16,resource_0,6,6,27;;;;;;;;;
6,resource_4,14,57,91;;;;;;;;;
4,resource_2,20,56,93;;;;;;;;;
19,resource_3,16,70,99;;;;;;;;;
12,resource_3,18,53,85;;;;;;;;;
9,resource_0,12,79,109;;;;;;;;;
11,resource_0,9,56,87;;;;;;;;;
17,resource_4,17,43,70;;;;;;;;;
14,resource_2,16,75,111;;;;;;;;;
13,resource_1,15,42,71;;;;;;;;;
16,resource_0,11,63,79;;;;;;;;;
0,resource_4,10,70,87;;;;;;;;;
19,resource_0,17,43,67;;;;;;;;;
4,resource_3,11,73,97;;;;;;;;;
18,resource_4,19,24,54;;;;;;;;;
15,resource_2,17,27,68;;;;;;;;;
2,resource_2,19,5,34;;;;;;;;;
10,resource_4,11,18,44;;;;;;;;;
3,resource_3,16,85,112;;;;;;;;;
7,resource_0,15,48,72;;;;;;;;;
5,resource_1,21,41,77;;;;;;;;;
8,resource_0,23,33,69;;;;;;;;;
12,resource_0,15,53,87;;;;;;;;;
17,resource_4,10,95,124;;;;;;;;;
16,resource_2,15,32,59;;;;;;;;;
14,resource_0,33,100,148;;;;;;;;;
11,resource_2,20,54,89;;;;;;;;;
1,resource_2,21,69,106;;;;;;;;;
18,resource_1,20,35,71;;;;;;;;;
4,resource_3,15,38,61;;;;;;;;;
13,resource_3,10,10,31;;;;;;;;;
6,resource_1,12,39,62;;;;;;;;;
9,resource_2,19,45,76;;;;;;;;;
0,resource_0,22,78,119;;;;;;;;;
10,resource_1,14,1,35;;;;;;;;;
15,resource_3,16,72,103;;;;;;;;;
8,resource_4,6,35,56;;;;;;;;;
7,resource_0,12,89,112;;;;;;;;;
19,resource_1,17,24,58;;;;;;;;;
5,resource_2,11,21,47;;;;;;;;;
11,resource_4,21,53,86;;;;;;;;;
2,resource_4,10,82,114;;;;;;;;;
10,resource_2,13,41,72;;;;;;;;;
8,resource_3,18,33,71;;;;;;;;;
0,resource_2,13,48,80;;;;;;;;;
6,resource_1,10,18,47;;;;;;;;;
16,resource_3,2,42,61;;;;;;;;;
17,resource_4,12,60,91;;;;;;;;;
12,resource_2,12,14,37;;;;;;;;;
18,resource_4,16,55,93;;;;;;;;;
3,resource_2,19,66,106;;;;;;;;;
15,resource_3,21,71,98;;;;;;;;;
14,resource_3,17,48,83;;;;;;;;;
1,resource_1,4,89,112;;;;;;;;;
4,resource_1,10,40,60;;;;;;;;;
9,resource_4,21,46,79;;;;;;;;;
1,resource_3,14,51,75;;;;;;;;;
13,resource_1,13,31,59;;;;;;;;;
7,resource_0,14,60,99;;;;;;;;;
0,resource_1,10,22,36;;;;;;;;;
11,resource_3,11,55,84;;;;;;;;;
10,resource_0,9,103,127;;;;;;;;;
8,resource_3,15,71,105;;;;;;;;;
2,resource_4,14,68,96;;;;;;;;;
17,resource_4,18,9,39;;;;;;;;;
6,resource_0,20,71,101;;;;;;;;;
5,resource_3,17,76,106;;;;;;;;;
4,resource_2,12,27,72;;;;;;;;;
12,resource_4,19,64,101;;;;;;;;;
19,resource_1,17,1,32;;;;;;;;;
2,resource_3,4,41,58;;;;;;;;;
18,resource_0,4,30,42;;;;;;;;;
15,resource_3,19,70,103;;;;;;;;;
3,resource_1,11,52,87;;;;;;;;;
16,resource_1,16,13,44;;;;;;;;;
11,resource_0,13,63,83;;;;;;;;;
14,resource_0,11,86,111;;;;;;;;;
1,resource_3,14,45,75;;;;;;;;;
0,resource_2,13,69,103;;;;;;;;;
7,resource_0,7,40,63;;;;;;;;;
8,resource_2,13,46,81;;;;;;;;;
13,resource_1,13,47,69;;;;;;;;;
3,resource_2,11,42,71;;;;;;;;;
10,resource_4,20,13,44;;;;;;;;;
4,resource_1,9,31,52;;;;;;;;;
9,resource_1,18,35,69;;;;;;;;;
12,resource_3,15,56,88;;;;;;;;;
6,resource_0,18,55,91;;;;;;;;;
19,resource_3,15,56,86;;;;;;;;;
15,resource_0,18,35,71;;;;;;;;;
17,resource_3,28,78,122;;;;;;;;;
11,resource_1,15,40,72;;;;;;;;;
18,resource_4,16,69,98;;;;;;;;;
5,resource_1,16,72,100;;;;;;;;;
14,resource_3,23,67,105;;;;;;;;;
1,resource_3,17,43,75;;;;;;;;;
13,resource_1,19,49,82;;;;;;;;;
8,resource_4,21,63,95;;;;;;;;;
16,resource_2,15,64,91;;;;;;;;;
10,resource_3,18,25,61;;;;;;;;;
2,resource_4,14,80,106;;;;;;;;;
15,resource_2,20,1,36;;;;;;;;;
3,resource_2,21,41,87;;;;;;;;;
14,resource_1,21,24,65;;;;;;;;;
9,resource_4,8,87,120;;;;;;;;;
11,resource_4,34,32,86;;;;;;;;;
7,resource_4,64,65,147;;;;;;;;;
17,resource_2,15,94,118;;;;;;;;;
15,resource_0,17,47,72;;;;;;;;;
18,resource_3,20,47,89;;;;;;;;;
4,resource_0,15,66,88;;;;;;;;;
10,resource_0,15,42,67;;;;;;;;;
2,resource_2,12,34,59;;;;;;;;;
6,resource_3,15,81,112;;;;;;;;;
19,resource_2,11,92,106;;;;;;;;;
16,resource_4,17,14,34;;;;;;;;;
12,resource_0,16,83,122;;;;;;;;;
0,resource_0,8,47,75;;;;;;;;;
11,resource_4,11,21,49;;;;;;;;;
17,resource_2,14,34,70;;;;;;;;;
18,resource_0,19,58,90;;;;;;;;;
14,resource_2,11,77,96;;;;;;;;;
9,resource_3,17,1,31;;;;;;;;;
10,resource_3,14,23,53;;;;;;;;;
7,resource_2,9,43,68;;;;;;;;;
1,resource_3,15,25,62;;;;;;;;;
18,resource_1,11,45,75;;;;;;;;;
3,resource_4,15,35,65;;;;;;;;;
15,resource_0,16,51,85;;;;;;;;;
4,resource_3,20,65,106;;;;;;;;;
5,resource_3,23,52,92;;;;;;;;;
13,resource_0,21,65,105;;;;;;;;;
8,resource_3,18,62,98;;;;;;;;;
19,resource_0,20,43,81;;;;;;;;;
17,resource_0,12,47,98;;;;;;;;;
6,resource_4,19,47,88;;;;;;;;;
2,resource_2,14,38,58;;;;;;;;;
16,resource_1,25,31,66;;;;;;;;;
12,resource_3,7,68,94;;;;;;;;;
7,resource_2,8,32,66;;;;;;;;;
15,resource_4,13,57,84;;;;;;;;;
18,resource_0,21,27,59;;;;;;;;;
9,resource_4,44,42,107;;;;;;;;;
0,resource_4,40,63,120;;;;;;;;;
10,resource_2,9,49,67;;;;;;;;;
3,resource_3,11,51,77;;;;;;;;;
11,resource_3,21,11,41;;;;;;;;;
14,resource_3,26,33,71;;;;;;;;;
4,resource_2,13,13,42;;;;;;;;;
1,resource_3,17,38,72;;;;;;;;;
11,resource_0,8,37,66;;;;;;;;;
19,resource_3,10,49,77;;;;;;;;;
0,resource_3,16,77,108;;;;;;;;;
15,resource_0,21,50,79;;;;;;;;;
12,resource_0,19,48,84;;;;;;;;;
13,resource_1,13,42,70;;;;;;;;;
7,resource_1,22,63,103;;;;;;;;;
6,resource_1,27,53,97;;;;;;;;;
2,resource_0,8,25,53;;;;;;;;;
16,resource_3,49,52,111;;;;;;;;;
11,resource_1,12,4,28;;;;;;;;;
8,resource_1,19,38,73;;;;;;;;;
3,resource_1,41,48,111;;;;;;;;;
17,resource_4,10,54,87;;;;;;;;;
18,resource_3,32,22,72;;;;;;;;;
1,resource_1,15,19,61;;;;;;;;;
19,resource_4,15,23,70;;;;;;;;;
5,resource_0,20,62,102;;;;;;;;;
14,resource_1,11,1,27;;;;;;;;;
7,resource_4,9,42,71;;;;;;;;;
0,resource_4,18,88,112;;;;;;;;;
10,resource_0,20,75,110;;;;;;;;;
13,resource_2,16,70,110;;;;;;;;;
15,resource_4,16,30,61;;;;;;;;;
6,resource_0,17,88,117;;;;;;;;;
8,resource_1,12,56,82;;;;;;;;;
9,resource_1,17,85,113;;;;;;;;;
2,resource_4,10,66,93;;;;;;;;;
5,resource_2,22,64,99;;;;;;;;;
18,resource_3,12,47,77;;;;;;;;;
3,resource_2,15,71,110;;;;;;;;;
15,resource_1,16,34,71;;;;;;;;;
16,resource_3,14,45,73;;;;;;;;;
1,resource_4,24,37,71;;;;;;;;;
18,resource_4,14,34,63;;;;;;;;;
6,resource_3,15,47,84;;;;;;;;;
12,resource_1,14,43,76;;;;;;;;;
4,resource_0,19,101,138;;;;;;;;;
15,resource_1,9,44,65;;;;;;;;;
17,resource_1,12,35,50;;;;;;;;;
14,resource_4,20,70,93;;;;;;;;;
0,resource_3,17,57,85;;;;;;;;;
13,resource_1,21,59,96;;;;;;;;;
11,resource_1,33,50,94;;;;;;;;;
10,resource_2,15,76,107;;;;;;;;;
3,resource_4,6,31,46;;;;;;;;;
19,resource_1,31,69,126;;;;;;;;;
7,resource_3,6,49,71;;;;;;;;;
10,resource_0,21,24,61;;;;;;;;;
5,resource_0,12,68,106;;;;;;;;;
8,resource_4,23,39,77;;;;;;;;;
1,resource_0,15,54,82;;;;;;;;;
18,resource_1,12,51,82;;;;;;;;;
4,resource_0,12,34,70;;;;;;;;;
16,resource_3,18,30,61;;;;;;;;;
13,resource_3,15,62,88;;;;;;;;;
6,resource_1,9,43,67;;;;;;;;;
9,resource_3,21,60,91;;;;;;;;;
10,resource_1,9,18,38;;;;;;;;;
2,resource_4,11,71,100;;;;;;;;;
13,resource_4,7,31,50;;;;;;;;;
11,resource_4,30,84,125;;;;;;;;;
14,resource_3,57,63,142;;;;;;;;;
17,resource_2,10,56,91;;;;;;;;;
15,resource_2,10,53,73;;;;;;;;;
1,resource_0,23,39,79;;;;;;;;;
0,resource_1,23,76,116;;;;;;;;;
19,resource_1,18,37,72;;;;;;;;;
3,resource_1,12,67,92;;;;;;;;;
7,resource_0,12,87,121;;;;;;;;;
0,resource_3,10,24,53;;;;;;;;;
5,resource_2,13,73,104;;;;;;;;;
16,resource_2,14,96,124;;;;;;;;;
10,resource_0,9,70,95;;;;;;;;;
17,resource_1,15,81,108;;;;;;;;;
8,resource_0,15,63,91;;;;;;;;;
9,resource_3,17,35,68;;;;;;;;;
2,resource_0,20,78,117;;;;;;;;;
6,resource_0,20,45,79;;;;;;;;;
13,resource_3,14,33,61;;;;;;;;;
4,resource_2,12,47,74;;;;;;;;;
18,resource_4,13,42,77;;;;;;;;;
11,resource_4,14,29,57;;;;;;;;;
12,resource_3,3,53,81;;;;;;;;;
3,resource_2,20,51,85;;;;;;;;;
1,resource_0,9,68,85;;;;;;;;;
0,resource_2,16,32,54;;;;;;;;;
19,resource_1,19,45,80;;;;;;;;;
14,resource_2,13,65,98;;;;;;;;;
10,resource_3,16,48,75;;;;;;;;;
9,resource_0,26,31,80;;;;;;;;;
7,resource_3,16,71,106;;;;;;;;;
6,resource_0,20,1,41;;;;;;;;;
15,resource_0,16,30,67;;;;;;;;;
1,resource_0,16,77,105;;;;;;;;;
5,resource_4,12,88,115;;;;;;;;;
6,resource_1,13,18,48;;;;;;;;;
17,resource_2,3,42,59;;;;;;;;;
10,resource_3,18,15,46;;;;;;;;;
0,resource_3,19,77,106;;;;;;;;;
13,resource_3,14,22,50;;;;;;;;;
8,resource_2,13,44,75;;;;;;;;;
11,resource_4,12,52,76;;;;;;;;;
10,resource_3,14,60,90;;;;;;;;;
2,resource_3,23,56,97;;;;;;;;;
4,resource_4,13,68,92;;;;;;;;;
7,resource_1,20,35,66;;;;;;;;;
19,resource_1,17,74,111;;;;;;;;;
12,resource_2,12,45,68;;;;;;;;;
3,resource_2,14,1,34;;;;;;;;;
9,resource_1,12,5,33;;;;;;;;;
14,resource_1,19,48,74;;;;;;;;;
18,resource_3,17,50,82;;;;;;;;;
16,resource_3,13,61,95;;;;;;;;;
