# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
5,resource_4,18,19,50
17,resource_2,14,40,70
7,resource_1,11,70,99
16,resource_0,11,54,90
8,resource_1,6,26,39
10,resource_1,21,57,85
11,resource_0,11,59,84
2,resource_2,18,58,98
19,resource_3,15,35,62
17,resource_2,16,54,87
5,resource_3,21,28,65
6,resource_1,20,40,80
14,resource_3,14,34,71
1,resource_1,13,40,66
12,resource_2,14,44,72
9,resource_1,14,73,98
3,resource_2,16,31,66
13,resource_0,13,57,78
15,resource_4,21,77,123
18,resource_3,14,61,92
0,resource_1,19,52,91
6,resource_4,11,47,74
11,resource_0,18,46,73
2,resource_4,15,61,90
8,resource_3,8,51,73
4,resource_3,10,5,25
7,resource_2,15,37,63
1,resource_3,1,27,39
9,resource_2,11,37,64
17,resource_0,13,46,76
14,resource_1,14,63,91
5,resource_2,15,42,70
15,resource_0,9,23,57
19,resource_2,10,45,77
16,resource_1,6,51,77
0,resource_2,1,45,67
10,resource_1,20,84,121
6,resource_3,14,61,94
13,resource_1,9,56,82
3,resource_4,13,25,61
4,resource_1,16,1,39
9,resource_0,25,71,101
12,resource_1,11,24,44
18,resource_4,12,53,79
14,resource_4,19,68,98
8,resource_2,9,44,64
0,resource_2,10,41,69
11,resource_1,16,58,83
2,resource_2,15,58,96
1,resource_4,8,80,104
17,resource_4,9,78,108
5,resource_0,10,50,73
19,resource_1,3,46,68
8,resource_4,9,54,81
10,resource_0,24,53,88
6,resource_0,21,53,96
7,resource_4,8,38,66
16,resource_0,17,40,76
0,resource_1,17,62,101
15,resource_2,7,59,85
11,resource_3,15,21,52
9,resource_4,10,47,68
3,resource_0,19,73,99
13,resource_1,21,31,69
